Date,Close,High,Low,Open,Volume
2024-07-17,228.36,230.94,226.13,228.93,57345900.0
2024-07-18,223.67,229.92,221.77,229.76,66034600.0
2024-07-19,223.8,226.29,222.78,224.31,49151500.0
2024-07-22,223.46,227.27,222.59,226.5,48201800.0
2024-07-23,224.5,226.43,222.18,223.86,39960300.0
2024-07-24,218.05,224.29,216.64,223.5,61777600.0
2024-07-25,217.0,220.35,214.14,218.44,51391200.0
2024-07-26,217.47,219.0,215.52,218.21,41601300.0
2024-07-29,217.75,218.81,215.26,216.47,36311800.0
2024-07-30,218.31,219.83,215.63,218.7,41643800.0
2024-07-31,221.58,223.32,220.13,220.94,50036300.0
2024-08-01,217.87,223.97,216.53,223.86,62501000.0
2024-08-02,219.36,225.09,217.22,218.66,105568600.0
2024-08-05,208.8,213.02,195.56,198.64,119548600.0
2024-08-06,206.76,209.52,200.62,204.84,69660500.0
2024-08-07,209.35,213.16,205.92,206.43,63516400.0
2024-08-08,212.83,213.72,208.36,212.63,47161100.0
2024-08-09,215.75,216.29,211.49,211.62,42201600.0
2024-08-12,217.29,219.27,215.36,215.83,38028100.0
2024-08-13,221.03,221.65,218.77,218.77,44155300.0
2024-08-14,221.48,222.78,219.46,220.33,41960600.0
2024-08-15,224.47,225.1,222.52,224.35,46414000.0
2024-08-16,225.8,226.58,223.4,223.67,44340200.0
2024-08-19,225.64,225.74,222.79,225.47,40687800.0
2024-08-20,226.26,226.92,225.2,225.52,30299000.0
2024-08-21,226.15,227.73,224.8,226.27,34765500.0
2024-08-22,224.28,228.09,223.65,227.54,43695300.0
2024-08-23,226.59,227.97,224.08,225.41,38677300.0
2024-08-26,226.93,227.03,223.64,226.51,30602200.0
2024-08-27,227.78,228.6,224.64,225.75,35934600.0
2024-08-28,226.24,229.61,225.43,227.67,38052200.0
2024-08-29,229.54,232.66,228.63,229.85,51906300.0
2024-08-30,228.75,230.15,227.23,229.94,52990800.0
2024-09-03,222.53,228.75,220.93,228.3,50190600.0
2024-09-04,220.61,221.54,217.24,221.42,43840200.0
2024-09-05,222.14,225.23,221.28,221.39,36615400.0
2024-09-06,220.58,224.99,219.53,223.7,48423000.0
2024-09-09,220.67,221.03,216.47,220.58,67180000.0
2024-09-10,219.87,221.24,216.49,218.68,51591000.0
2024-09-11,222.42,222.84,217.65,221.22,44587100.0
2024-09-12,222.53,223.3,219.58,222.26,37498200.0
2024-09-13,222.26,223.79,221.67,223.33,36766600.0
2024-09-16,216.08,216.98,213.68,216.3,59357400.0
2024-09-17,216.55,216.66,214.26,215.51,45519300.0
2024-09-18,220.45,222.47,217.3,217.31,59894900.0
2024-09-19,228.62,229.57,224.38,224.74,66781300.0
2024-09-20,227.95,232.83,227.37,229.72,318679900.0
2024-09-23,226.22,229.2,225.56,227.09,54146000.0
2024-09-24,227.12,229.1,225.48,228.4,43556100.0
2024-09-25,226.12,227.04,223.77,224.68,42308700.0
2024-09-26,227.27,228.25,225.16,227.05,36636700.0
2024-09-27,227.54,229.27,227.05,228.21,34026000.0
2024-09-30,232.74,232.74,229.4,229.79,54541900.0
2024-10-01,225.96,229.4,223.49,229.27,63285000.0
2024-10-02,226.53,227.12,222.77,225.64,32880600.0
