Price,Close,High,Low,Open,Volume
Date,,,,,
2023-04-03,164.69,164.81,162.76,162.81,56976200.00
2023-04-04,164.16,165.36,163.64,165.12,46278300.00
2023-04-05,162.30,163.58,160.36,163.27,51511700.00
2023-04-06,163.20,163.49,160.56,160.99,45390100.00
2023-04-10,160.59,160.59,158.66,159.98,47716900.00
2023-04-11,159.37,160.92,159.08,160.91,47644200.00
2023-04-12,158.68,160.62,158.36,159.79,50133100.00
2023-04-13,164.09,164.33,159.98,160.19,68445600.00
2023-04-14,163.74,164.84,162.36,163.13,49386500.00
2023-04-17,163.76,163.92,162.57,163.62,41516200.00
2023-04-18,164.99,165.92,164.18,164.62,49923000.00
2023-04-19,166.14,166.66,164.07,164.33,47720200.00
2023-04-20,165.17,166.38,164.09,164.61,52456400.00
2023-04-21,163.55,164.97,163.03,163.58,58337300.00
2023-04-24,163.86,164.13,162.43,163.53,41949600.00
2023-04-25,162.31,164.83,162.27,163.72,48714100.00
2023-04-26,162.30,163.81,161.35,161.61,45498800.00
2023-04-27,166.91,167.06,163.72,163.72,64902300.00
2023-04-28,168.17,168.34,166.39,166.99,55209200.00
2023-05-01,168.08,168.93,167.14,167.77,52472900.00
2023-05-02,167.04,168.83,166.05,168.58,48425700.00
2023-05-03,165.96,169.40,165.67,167.99,65136000.00
2023-05-04,164.32,165.55,162.85,163.42,81235400.00
2023-05-05,172.03,172.75,169.24,169.46,113316400.00
2023-05-08,171.96,172.30,170.58,170.95,55962800.00
2023-05-09,170.24,172.00,170.07,171.51,45326900.00
2023-05-10,172.02,172.48,170.37,171.48,53724500.00
2023-05-11,172.20,173.04,170.64,172.30,49514700.00
2023-05-12,171.27,172.75,169.71,172.31,45497800.00
2023-05-15,170.78,171.91,170.18,171.86,37266700.00
2023-05-16,170.78,171.84,170.51,170.70,42110300.00
2023-05-17,171.39,171.63,169.14,170.42,57951600.00
2023-05-18,173.73,173.92,171.28,171.70,65496700.00
2023-05-19,173.84,175.06,173.62,175.06,55772400.00
2023-05-22,172.89,173.40,172.14,172.67,43570900.00
2023-05-23,170.27,172.08,169.99,171.83,50747300.00
2023-05-24,170.55,171.12,169.24,169.80,45143500.00
2023-05-25,171.69,172.59,170.40,171.11,56058300.00
2023-05-26,174.11,174.45,171.81,172.02,54835000.00
2023-05-30,175.97,177.64,175.24,175.63,55964400.00
2023-05-31,175.92,178.00,175.43,176.00,99625300.00
2023-06-01,178.73,178.76,175.60,176.36,68901800.00
2023-06-02,179.59,180.41,177.91,179.67,61945900.00
2023-06-05,178.23,183.56,176.70,181.26,121946500.00
2023-06-06,177.86,178.76,176.09,178.62,64848400.00
2023-06-07,176.48,179.85,175.99,177.10,61944600.00
2023-06-08,179.21,179.48,176.12,176.56,50214900.00
2023-06-09,179.60,180.86,179.27,180.13,48870700.00
2023-06-12,182.41,182.51,179.61,179.91,54274900.00
2023-06-13,181.93,182.76,181.07,181.42,54929100.00
2023-06-14,182.57,183.00,180.65,181.99,57462900.00
2023-06-15,184.61,185.12,182.40,182.58,65433200.00
2023-06-16,183.53,185.58,182.88,185.32,101235600.00
2023-06-20,183.62,184.70,183.02,183.02,49799100.00
2023-06-21,182.58,184.01,181.22,183.51,49515700.00
2023-06-22,185.59,185.64,182.29,182.36,51245300.00
2023-06-23,185.28,186.15,183.62,184.15,53079300.00
2023-06-26,183.88,186.63,183.84,185.42,48088700.00
2023-06-27,186.64,186.97,184.27,184.49,50730800.00
2023-06-28,187.83,188.47,186.19,186.52,51216800.00
2023-06-29,188.16,188.64,187.52,187.66,46347300.00
2023-06-30,192.51,193.02,189.82,190.19,85069600.00
2023-07-03,191.01,192.42,190.32,192.32,31458200.00
2023-07-05,189.89,191.53,189.19,190.13,46920300.00
2023-07-06,190.37,190.58,187.78,188.41,45094300.00
2023-07-07,189.25,191.22,188.81,189.97,46778000.00
2023-07-10,187.19,188.56,185.63,187.84,59922200.00
2023-07-11,186.66,187.88,185.20,187.74,46638100.00
2023-07-12,188.34,190.26,187.05,188.25,60750200.00
2023-07-13,189.11,189.75,188.35,189.07,41342300.00
2023-07-14,189.26,189.74,188.20,188.80,41573900.00
2023-07-17,192.53,192.86,190.37,190.46,50520200.00
2023-07-18,192.27,192.87,190.97,191.90,48353800.00
2023-07-19,193.63,196.74,191.20,191.65,80507300.00
2023-07-20,191.68,194.99,191.05,193.62,59581200.00
2023-07-21,190.50,193.50,189.79,192.64,71917800.00
2023-07-24,191.30,193.44,190.80,191.95,45377800.00
2023-07-25,192.16,192.98,191.47,191.88,37283200.00
2023-07-26,193.04,194.17,191.87,192.21,47471900.00
2023-07-27,191.77,195.72,191.10,194.55,47460200.00
2023-07-28,194.36,195.15,192.68,193.21,48291400.00
2023-07-31,194.97,195.01,193.79,194.58,38824100.00
2023-08-01,194.14,195.25,193.81,194.76,35175100.00
2023-08-02,191.13,193.71,190.41,193.57,50389300.00
2023-08-03,189.73,190.92,189.26,190.13,61235200.00
2023-08-04,180.62,185.97,180.55,184.12,115799700.00
2023-08-07,177.50,181.75,176.02,180.76,97576100.00
2023-08-08,178.45,178.91,176.24,178.34,67823000.00
2023-08-09,176.85,179.57,175.68,179.51,60378500.00
2023-08-10,176.63,179.39,176.26,178.13,54686900.00
2023-08-11,176.69,177.52,175.46,176.22,51988100.00
2023-08-14,178.35,178.58,176.21,176.87,43675600.00
2023-08-15,176.35,178.37,175.96,177.77,43622600.00
2023-08-16,175.48,177.44,175.41,176.03,46964900.00
2023-08-17,172.92,176.41,172.41,176.04,66062900.00
2023-08-18,173.41,174.02,170.90,171.23,61114200.00
2023-08-21,174.75,175.04,172.67,173.99,46311900.00
2023-08-22,176.13,176.58,175.16,175.96,42084200.00
2023-08-23,180.00,180.43,177.23,177.42,52722800.00
2023-08-24,175.29,179.98,174.92,179.55,54945800.00
2023-08-25,177.51,178.04,174.73,176.28,51449600.00
2023-08-28,179.08,179.47,177.45,178.98,43820700.00
2023-08-29,182.98,183.76,178.39,178.59,53003900.00
2023-08-30,186.49,186.69,183.60,183.80,60813900.00
2023-08-31,186.71,187.95,186.32,186.68,60794500.00
2023-09-01,188.29,188.75,187.12,188.32,45732600.00
2023-09-05,188.53,188.81,186.45,187.12,45280000.00
2023-09-06,181.78,187.68,180.35,187.23,81755800.00
2023-09-07,176.46,177.11,172.47,174.10,112488800.00
2023-09-08,177.08,179.13,176.69,177.25,65551300.00
2023-09-11,178.25,179.18,176.24,178.96,58953100.00
2023-09-12,175.21,179.02,173.74,178.38,90370200.00
2023-09-13,173.13,176.20,172.90,175.42,84267900.00
2023-09-14,174.65,175.01,172.51,172.92,60895800.00
2023-09-15,173.93,175.41,172.75,175.39,109205100.00
2023-09-18,176.87,178.27,175.08,175.39,67257600.00
2023-09-19,177.96,178.52,176.03,176.42,51826900.00
2023-09-20,174.40,178.59,174.32,178.15,58436200.00
2023-09-21,172.85,175.21,172.78,173.47,63047900.00
2023-09-22,173.71,175.98,172.97,173.59,56725400.00
2023-09-25,174.99,175.88,173.07,173.12,46172700.00
2023-09-26,170.90,174.12,170.60,173.74,64588900.00
2023-09-27,169.38,171.97,168.00,171.55,66921800.00
2023-09-28,169.63,170.97,166.58,168.29,56294400.00
2023-09-29,170.15,172.00,169.29,170.96,51814200.00
2023-10-02,172.68,173.22,169.87,170.16,52164500.00
2023-10-03,171.33,172.56,169.76,171.19,49594600.00
2023-10-04,172.59,173.13,169.91,170.03,53020300.00
2023-10-05,173.83,174.36,171.61,172.72,48527900.00
2023-10-06,176.39,176.89,172.11,172.73,57224100.00
2023-10-09,177.88,177.94,174.71,175.72,42390800.00
2023-10-10,177.29,178.61,176.85,177.00,43698000.00
2023-10-11,178.69,178.74,176.50,177.10,47551100.00
2023-10-12,179.59,181.21,177.93,178.96,56743100.00
2023-10-13,177.74,180.80,177.04,180.30,51427100.00
2023-10-16,177.61,177.97,175.42,175.66,52517000.00
2023-10-17,176.05,177.32,173.72,175.56,57549400.00
2023-10-18,174.75,176.48,174.03,174.49,54764400.00
2023-10-19,174.37,176.74,174.11,174.95,59302900.00
2023-10-20,171.81,174.34,171.57,174.23,64189300.00
2023-10-23,171.93,172.93,168.88,169.85,55980100.00
2023-10-24,172.37,172.60,170.39,171.98,43816600.00
2023-10-25,170.04,171.99,169.59,170.82,57157000.00
2023-10-26,165.86,170.32,164.65,169.32,70625300.00
2023-10-27,167.18,167.92,165.80,165.88,58499100.00
2023-10-30,169.24,170.11,167.83,167.97,51131000.00
2023-10-31,169.71,169.84,166.86,168.30,44846000.00
2023-11-01,172.89,173.15,169.07,169.94,56934900.00
2023-11-02,176.47,176.68,174.37,174.43,77334800.00
2023-11-03,175.56,175.73,172.28,173.16,79763700.00
2023-11-06,178.12,178.32,175.12,175.29,63841300.00
2023-11-07,180.70,181.31,177.86,178.07,70530000.00
2023-11-08,181.76,182.32,180.47,181.22,49340300.00
2023-11-09,181.28,182.98,180.69,181.83,53763500.00
2023-11-10,185.49,185.66,182.64,183.07,66133400.00
2023-11-13,183.90,185.12,183.31,184.91,43627500.00
2023-11-14,186.53,187.19,185.39,186.78,60108400.00
2023-11-15,187.09,188.58,186.86,186.93,53790500.00
2023-11-16,188.79,190.03,187.73,188.65,54412900.00
2023-11-17,188.77,189.45,187.65,189.32,50922700.00
2023-11-20,190.52,190.97,188.95,188.96,46505100.00
2023-11-21,189.71,190.59,188.81,190.48,38134500.00
2023-11-22,190.38,191.99,189.90,190.56,39617700.00
2023-11-24,189.04,189.97,188.33,189.94,24048300.00
2023-11-27,188.86,189.74,187.98,188.99,40552600.00
2023-11-28,189.47,190.15,188.48,188.85,38415400.00
2023-11-29,188.45,191.15,188.05,189.97,43014200.00
2023-11-30,189.02,189.39,187.27,188.91,48794400.00
2023-12-01,190.31,190.63,188.31,189.40,45679300.00
2023-12-04,188.51,189.12,186.54,189.05,43389500.00
2023-12-05,192.48,193.45,189.25,189.28,66628400.00
2023-12-06,191.38,193.81,191.17,193.50,41089700.00
2023-12-07,193.32,194.05,192.65,192.69,47477700.00
2023-12-08,194.76,195.03,192.73,193.25,53377300.00
2023-12-11,192.24,192.55,190.49,192.17,60943700.00
2023-12-12,193.76,193.77,190.79,192.14,52696900.00
2023-12-13,196.99,197.03,193.90,194.14,70404200.00
2023-12-14,197.14,198.65,195.20,197.05,66831600.00
2023-12-15,196.61,197.43,196.04,196.57,128256700.00
2023-12-18,194.94,195.67,193.44,195.13,55751900.00
2023-12-19,195.98,195.99,194.94,195.20,40714100.00
2023-12-20,193.88,196.72,193.88,195.94,52242800.00
2023-12-21,193.73,196.12,192.56,195.14,46482500.00
2023-12-22,192.66,194.46,192.03,194.23,37122800.00
2023-12-26,192.11,192.94,191.89,192.67,28919300.00
2023-12-27,192.21,192.56,190.16,191.55,48087700.00
2023-12-28,192.64,193.71,192.23,193.19,34049900.00
2023-12-29,191.59,193.45,190.80,192.95,42628800.00
